Report date,Number of confirmed cases,Number of death cases,Number of discharge cases
23/01/2020,2,0,0
24/01/2020,5,0,0
25/01/2020,5,0,0
26/01/2020,8,0,0
27/01/2020,8,0,0
28/01/2020,8,0,0
29/01/2020,10,0,0
30/01/2020,12,0,0
31/01/2020,13,0,0
01/02/2020,14,0,0
02/02/2020,15,0,0
03/02/2020,15,0,0
04/02/2020,18,1,0
05/02/2020,21,1,0
06/02/2020,24,1,0
07/02/2020,26,1,0
08/02/2020,26,1,0
09/02/2020,36,1,0
10/02/2020,42,1,0
11/02/2020,49,1,0
12/02/2020,50,1,1
13/02/2020,53,1,1
14/02/2020,56,1,1
15/02/2020,56,1,1
16/02/2020,57,1,2
17/02/2020,60,1,2
18/02/2020,61,1,4
19/02/2020,63,2,5
20/02/2020,67,2,5
21/02/2020,68,2,6
22/02/2020,68,2,11
23/02/2020,74,2,12
24/02/2020,77,2,19
25/02/2020,85,2,18
26/02/2020,91,2,24
27/02/2020,92,2,26
28/02/2020,94,2,30
29/02/2020,94,2,33
01/03/2020,97,2,36
02/03/2020,99,2,36
03/03/2020,100,2,37
04/03/2020,103,2,43
05/03/2020,104,2,46
06/03/2020,106,2,51
07/03/2020,108,2,55
08/03/2020,113,3,59
09/03/2020,115,3,60
10/03/2020,117,3,65
11/03/2020,129,3,67
12/03/2020,130,3,75
13/03/2020,132,4,78
14/03/2020,139,4,81
15/03/2020,147,4,84
16/03/2020,156,4,88
17/03/2020,164,4,92
18/03/2020,184,4,95
19/03/2020,206,4,98
20/03/2020,250,4,98
21/03/2020,273,4,100
22/03/2020,317,4,100
23/03/2020,351,4,101
24/03/2020,382,4,102
25/03/2020,407,4,106
26/03/2020,452,4,110
27/03/2020,494,4,111
28/03/2020,526,4,112
29/03/2020,577,4,118
30/03/2020,623,4,124
31/03/2020,680,4,128
01/04/2020,737,4,147
02/04/2020,784,4,154
03/04/2020,831,4,173
04/04/2020,853,4,186
05/04/2020,882,4,206
06/04/2020,914,4,216
07/04/2020,935,4,236
08/04/2020,960,4,264
09/04/2020,973,4,293
10/04/2020,989,4,309
11/04/2020,1000,4,336
12/04/2020,1004,4,360
13/04/2020,1009,4,397
14/04/2020,1012,4,434
15/04/2020,1016,4,459
16/04/2020,1017,4,485
17/04/2020,1021,4,532
18/04/2020,1023,4,568
19/04/2020,1025,4,602
20/04/2020,1025,4,630
21/04/2020,1029,4,650
22/04/2020,1033,4,678
23/04/2020,1035,4,699
24/04/2020,1035,4,725
25/04/2020,1037,4,753
26/04/2020,1037,4,772
27/04/2020,1037,4,787
28/04/2020,1037,4,811
29/04/2020,1037,4,830
30/04/2020,1037,4,846
01/05/2020,1039,4,859
02/05/2020,1039,4,864
03/05/2020,1039,4,879
04/05/2020,1040,4,900
05/05/2020,1040,4,920
06/05/2020,1040,4,932
07/05/2020,1044,4,944
08/05/2020,1044,4,960
09/05/2020,1044,4,967
10/05/2020,1047,4,982
11/05/2020,1047,4,985
12/05/2020,1047,4,991
13/05/2020,1050,4,1008
