District,Income,Income_1k,casenum,decnum,population,population_density,population.density_1k,cum_inc,inc_perk,cfr,cfr_percent,Cumulative Incidence Rate_percentage,Average Patient Age,Average Age,aht,mht,Income Region
Central and Western,45040,45.04,547,2,235953,18808,18.808,0.002318258,2.318,0.003656307,0.366,0.232,39.2,44.8,13.62,12,2
Eastern,32000,32,621,11,529603,29440,29.44,0.001172576,1.173,0.017713366,1.771,0.117,46.7,49,17.3,14,2
Islands,28960,28.96,288,2,185282,1021,1.021,0.001554387,1.554,0.006944444,0.694,0.155,40.95,42.7,14.66,13,1
Kowloon City,30010,30.01,852,21,410634,40994,40.994,0.00207484,2.075,0.024647887,2.465,0.207,45.74,45.4,15.8,13,1
Kwai Tsing,23740,23.74,592,5,495798,21246,21.246,0.001194035,1.194,0.008445946,0.845,0.119,45.36,48,15.73,13,0
Kwun Tong,22000,22,830,18,673166,59704,59.704,0.00123298,1.233,0.021686747,2.169,0.123,48.24,48,14.9,12,0
North,23580,23.58,219,6,309631,2269,2.269,0.000707294,0.707,0.02739726,2.74,0.071,47.23,46.3,16.46,12,0
Sai Kung,37840,37.84,427,3,489037,3771,3.771,0.000873145,0.873,0.007025761,0.703,0.087,44.35,44.7,15.27,13,2
Sha Tin,28870,28.87,616,10,692806,10082,10.082,0.000889138,0.889,0.016233766,1.623,0.089,46.37,46.2,14.75,13,1
Sham Shui Po,21490,21.49,657,22,431090,46067,46.067,0.001524044,1.524,0.03348554,3.349,0.152,47.57,46.2,16.57,13,0
Southern,32440,32.44,263,1,263278,6779,6.779,0.000998944,0.999,0.003802281,0.38,0.1,42.37,48.1,14.56,13,2
Tai Po,30000,30,274,2,316470,2325,2.325,0.000865801,0.866,0.00729927,0.73,0.087,47.05,45.7,15.93,13,1
Tsuen Wan,32040,32.04,302,4,320094,5168,5.168,0.000943473,0.943,0.013245033,1.325,0.094,45.12,45.4,16.43,14,2
Tuen Mun,25040,25.04,493,19,506879,5908,5.908,0.000972619,0.973,0.038539554,3.854,0.097,49.39,46.1,15.59,13,0
Wan Chai,45000,45,369,3,166695,15791,15.791,0.002213624,2.214,0.008130081,0.813,0.221,41.55,46,17.06,14,2
Wong Tai Sin,23520,23.52,875,36,406802,43730,43.73,0.002150924,2.151,0.041142857,4.114,0.215,50.83,50.1,17.21,13,0
Yau Tsim Mong,26080,26.08,1131,13,310647,44458,44.458,0.003640788,3.641,0.011494253,1.149,0.364,41.98,44,15.66,13,1
Yuen Long,27560,27.56,637,8,668080,4825,4.825,0.000953479,0.953,0.01255887,1.256,0.095,43.01,43.7,14.93,12,1
